ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXATPCHALLENGERMATCH-26APR28SAKSEG-SEG,10,0,,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,,,scalp,40,300,30.00,underdog,2026-04-28 02:02:45 AM ET
KXATPCHALLENGERMATCH-26APR28BARPOT-BAR,56,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,settle_loss,1,-550,-55.00,leader,2026-04-28 02:03:59 AM ET
KXATPCHALLENGERMATCH-26APR28SCHCHO-SCH,57,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,settle_loss,1,-560,-56.00,leader,2026-04-28 02:04:58 AM ET
KXATPCHALLENGERMATCH-26APR28SAFCRE-CRE,23,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,settle_loss,1,-210,-21.00,underdog,2026-04-28 02:05:23 AM ET
KXATPCHALLENGERMATCH-26APR28OMAYEV-YEV,65,0,,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,,,scalp,95,300,30.00,leader,2026-04-28 02:14:16 AM ET
KXATPCHALLENGERMATCH-26APR28WALCUI-WAL,78,0,,ATP_CHALL_leader_75-79,ATP_CHALL_leader_75-79,,,unknown,0,0,0.00,leader,2026-04-28 02:40:59 AM ET
KXATPCHALLENGERMATCH-26APR28DONMEJ-MEJ,74,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,settle_loss,1,-730,-73.00,leader,2026-04-28 02:46:29 AM ET
KXATPCHALLENGERMATCH-26APR28REHCUE-REH,67,0,,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,,,scalp,97,300,30.00,leader,2026-04-28 02:46:31 AM ET
KXATPCHALLENGERMATCH-26APR28KUZBLA-KUZ,49,0,,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,,,scalp,62,130,13.00,underdog,2026-04-28 02:46:32 AM ET
KXATPCHALLENGERMATCH-26APR28ARNCAR-ARN,47,0,,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,,,scalp,60,130,13.00,underdog,2026-04-28 02:46:33 AM ET
KXATPCHALLENGERMATCH-26APR28HERMAR-MAR,58,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,scalp,78,200,20.00,leader,2026-04-28 02:46:34 AM ET
KXATPCHALLENGERMATCH-26APR28FAUMON-MON,74,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,settle_loss,1,-730,-73.00,leader,2026-04-28 02:49:10 AM ET
KXWTACHALLENGERMATCH-26APR28WERMAR-WER,59,0,,WTA_CHALL_leader_55-59,WTA_CHALL_leader_55-59,,,scalp,79,200,20.00,leader,2026-04-28 02:50:31 AM ET
KXATPMATCH-26APR28MEDCOB-MED,54,0,,ATP_MAIN_leader_50-54,ATP_MAIN_leader_50-54,,,unknown,0,0,0.00,leader,2026-04-28 03:19:13 AM ET
KXATPCHALLENGERMATCH-26APR28ARNCAR-CAR,53,0,,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,,,settle_loss,1,-520,-52.00,leader,2026-04-28 03:42:25 AM ET
KXWTACHALLENGERMATCH-26APR28MINMAS-MIN,40,0,,WTA_CHALL_underdog_40-44,WTA_CHALL_underdog_40-44,,,scalp,70,300,30.00,underdog,2026-04-28 04:45:29 AM ET
KXATPCHALLENGERMATCH-26APR28FATPIN-PIN,52,0,,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,,,settle_loss,1,-510,-51.00,leader,2026-04-28 05:17:58 AM ET
KXATPMATCH-26APR28MEDCOB-COB,46,0,,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,,,scalp,50,50,5.00,underdog,2026-04-28 05:55:47 AM ET
KXATPCHALLENGERMATCH-26APR28WAWOFN-WAW,39,0,,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,,,scalp,50,110,11.00,underdog,2026-04-28 07:27:42 AM ET
KXATPCHALLENGERMATCH-26APR28SVRGIL-GIL,37,0,,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,,,scalp,48,110,11.00,underdog,2026-04-28 08:07:55 AM ET
