ticker_idx,cell,regime,anchor,offset,match_start_ts
853604,62,r55_64,62,2,1770127740.0
835401,39,r35_44,39,2,1770130260.0
834878,61,r55_64,61,2,1770130260.0
840119,25,r25_34,25,3,1770130860.0
840590,75,r75_84,75,3,1770130860.0
869865,87,r85_94,87,2,1770131280.0
870418,16,r15_24,16,2,1770131280.0
833970,33,r25_34,33,2,1770131640.0
834424,69,r65_74,69,1,1770131640.0
864773,79,r75_84,79,2,1770131760.0
865314,20,r15_24,20,2,1770131760.0
864120,44,r35_44,44,3,1770132300.0
864432,60,r55_64,60,1,1770132300.0
851316,13,r05_14,13,2,1770132420.0
845696,86,r85_94,86,3,1770133380.0
845110,16,r15_24,16,2,1770133380.0
833021,79,r75_84,79,3,1770135900.0
833307,30,r25_34,30,3,1770135900.0
844595,49,r45_54,49,2,1770138480.0
844847,54,r45_54,54,1,1770138480.0
875345,35,r35_44,35,2,1770140220.0
875038,65,r65_74,65,2,1770140220.0
827877,46,r45_54,46,3,1770143640.0
867950,54,r45_54,54,7,1770144180.0
841514,57,r55_64,57,2,1770144180.0
827472,56,r55_64,56,2,1770144960.0
827680,52,r45_54,52,7,1770144960.0
874318,70,r65_74,70,2,1770147180.0
874722,33,r25_34,33,3,1770147180.0
866928,90,r85_94,90,2,1770148020.0
866788,48,r45_54,48,2,1770148020.0
869373,89,r85_94,89,1,1770150180.0
868640,13,r05_14,13,2,1770150180.0
832004,32,r25_34,32,2,1770150300.0
832511,68,r65_74,68,2,1770150300.0
859159,42,r35_44,42,2,1770151980.0
830027,86,r85_94,86,1,1770153000.0
829847,11,r05_14,11,1,1770153000.0
837202,22,r15_24,22,4,1770154020.0
836723,80,r75_84,80,2,1770154020.0
861612,48,r45_54,48,3,1770154380.0
861150,52,r45_54,52,2,1770154380.0
867070,45,r45_54,45,1,1770154860.0
867513,55,r55_64,55,1,1770154860.0
856099,50,r45_54,50,3,1770157020.0
855649,53,r45_54,53,2,1770157020.0
873270,31,r25_34,31,2,1770159000.0
850425,69,r65_74,69,1,1770160440.0
851503,70,r65_74,70,2,1770160440.0
852079,30,r25_34,30,1,1770160440.0
849947,33,r25_34,33,2,1770160440.0
827051,60,r55_64,60,1,1770161640.0
826624,43,r35_44,43,4,1770161640.0
857963,61,r55_64,61,1,1770162900.0
858561,42,r35_44,42,6,1770162900.0
849481,18,r15_24,18,3,1770166920.0
849069,84,r75_84,84,2,1770166920.0
863139,27,r25_34,27,2,1770168420.0
863619,73,r65_74,73,3,1770168420.0
871917,33,r25_34,33,3,1770168480.0
847851,51,r45_54,51,4,1770169560.0
848278,71,r65_74,71,6,1770169560.0
839562,29,r25_34,29,2,1770169800.0
838971,73,r65_74,73,2,1770169800.0
831499,35,r35_44,35,2,1770170820.0
830994,68,r65_74,68,1,1770170820.0
855109,79,r75_84,79,2,1770171300.0
894677,19,r15_24,19,2,1770201360.0
889323,61,r55_64,61,2,1770202500.0
889814,40,r35_44,40,2,1770202500.0
890301,26,r25_34,26,4,1770208020.0
890799,77,r75_84,77,2,1770208020.0
878592,28,r25_34,28,2,1770209580.0
877945,74,r65_74,74,2,1770209580.0
894173,50,r45_54,50,2,1770209820.0
901556,41,r35_44,41,2,1770210120.0
901995,63,r55_64,63,2,1770210120.0
887284,37,r35_44,37,2,1770210420.0
880301,59,r55_64,59,1,1770215580.0
879905,43,r35_44,43,1,1770215580.0
880695,39,r35_44,39,2,1770216000.0
