category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_MAIN,Alexei Popyrin,26JUN22CHOPOP,,05:30:00,09:30:00,09:30:00,scheduled_fallback,66,66,0,,66,66,0,,0,0.0,67,68,1,,67,67,1,,0,,66,68,2,,67,67,2,,0,,1933,1270,staircase:63->64->65,65
ATP_MAIN,Jay Clarke,26JUN22CLAPEL,,05:00:00,09:00:00,09:00:00,scheduled_fallback,70,72,2,,71,71,2,,0,,71,74,3,,73,73,3,,0,,72,73,1,,73,73,1,,0,,838,0,staircase:67->68->69->70->71,71
ATP_MAIN,Andrea Pellegrino,26JUN22CLAPEL,,05:00:00,09:00:00,09:00:00,scheduled_fallback,27,29,2,,28,28,2,,0,,29,30,1,,29,29,1,,0,,29,30,1,,29,29,1,,0,,1210,0,staircase:26->27->28,28
ATP_MAIN,Juan Manuel Cerundolo,26JUN22COLCER,,03:30:00,07:30:00,07:30:00,scheduled_fallback,19,21,2,,19,19,2,,0,,21,22,1,,21,21,1,,0,,20,22,2,,21,21,2,,0,,7241,848,staircase:18->19,19
ATP_MAIN,Raphael Collignon,26JUN22COLCER,,03:30:00,07:30:00,07:30:00,scheduled_fallback,79,80,1,,79,79,1,,0,,80,81,1,,81,81,1,,0,,80,81,1,,81,81,1,,0,,294,0,staircase:74->75->76->77->78->79,79
ATP_MAIN,COM?,26JUN22COMMOR,,03:30:00,07:30:00,07:30:00,scheduled_fallback,57,69,12,,64,64,12,,0,,62,70,8,,66,66,8,,0,,63,70,7,,64,64,7,,0,,1801,478,staircase:63->64->65->66->67,67
ATP_MAIN,MOR?,26JUN22COMMOR,,03:30:00,07:30:00,07:30:00,scheduled_fallback,32,39,7,,35,35,7,,0,,33,42,9,,36,36,9,,0,,33,40,7,,36,36,7,,0,,355,0,engagement_join:32->32,32
ATP_MAIN,Oliver Bonding,26JUN22CORBON,,05:00:00,09:00:00,09:00:00,scheduled_fallback,73,75,2,,74,74,2,,0,,74,76,2,,76,76,2,,0,,74,76,2,,76,76,2,,0,,105,0,staircase:69->70->71->72->73,73
ATP_MAIN,Federico Coria,26JUN22CORBON,,05:00:00,09:00:00,09:00:00,scheduled_fallback,23,26,3,,25,25,3,,0,,25,27,2,,26,26,2,,0,,25,27,2,,27,27,2,,0,,212,0,staircase:23->24,24
ATP_MAIN,Oliver Crawford,26JUN22CRAROD,YES,06:30:00,10:30:00,11:16:15,latch,28,32,4,,31,28,1,4,0,1.0,30,33,3,,32,33,1,3,0,1.0,29,32,3,,32,32,1,3,0,1.0,983,77,engagement_join:30->31,31
