ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 04:08:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,31,1,30,171,20,113,19,1525,93,21,94,380,95,25,96,543,97,84,87.5,2318,1053,0.688
2026-04-18 04:08:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,31,1,30,171,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5455,1053,0.838
2026-04-18 04:08:31 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,31,113,30,171,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5567,1053,0.841
2026-04-18 04:09:07 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,31,113,30,171,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,4147,1053,0.797
2026-04-18 04:10:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,31,113,30,171,19,105,6,116,93,21,94,380,95,25,96,543,97,84,87.5,1013,1053,0.490
2026-04-18 04:10:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,32,1834,31,113,30,171,19,105,93,21,94,380,95,25,96,543,97,84,87.5,2731,1053,0.722
2026-04-18 04:10:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,32,1834,31,112,30,171,19,105,93,21,94,380,95,25,96,543,97,84,87.5,2730,1053,0.722
2026-04-18 04:10:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,32,1834,30,171,19,105,6,116,93,21,94,380,95,25,96,543,97,84,87.5,2734,1053,0.722
2026-04-18 04:10:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,33,113,32,1834,30,171,19,105,93,21,94,380,95,25,96,543,97,84,87.5,2731,1053,0.722
2026-04-18 04:17:51 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,33,113,32,1834,30,171,19,105,93,20,94,380,95,25,96,543,97,84,87.5,2731,1052,0.722
