code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL18CIRTOT,TOT,WTA_CHALL,26_50,MIRRORED,CLIMBER,10.0,55,1784385393.8,0.8426,False,,,1784385405,FALLING
26JUL18COLCER,CER,ATP_MAIN,26_50,MIRRORED,FALLER,-7.0,38,1784298806.2,0.0171,True,42,1784300380.982,1784299367,RISING
26JUL18COLCER,COL,ATP_MAIN,26_50,MIRRORED,CLIMBER,9.0,59,1784299285.8,0.0938,False,,,,
26JUL18COSHIB,COS,WTA_MAIN,51_75,FLAT_BOTH,,0.0,51,1784337421.0,0.1077,True,51,1784374244.072,1784347422,RISING
26JUL18COSHIB,HIB,WTA_MAIN,51_75,FLAT_BOTH,,-1.0,48,1784347342.7,0.3286,False,,,1784347367,FALLING
26JUL18DANPRA,DAN,ATP_MAIN,26_50,MIRRORED,CLIMBER,9.5,59,1784339306.8,0.1697,False,,,,
26JUL18DANPRA,PRA,ATP_MAIN,26_50,MIRRORED,FALLER,-9.5,41,1784342554.0,0.2517,False,,,,
26JUL18DELRIB,DEL,ATP_MAIN,26_50,MIRRORED,CLIMBER,18.5,69,1784381287.6,0.0302,False,,,,
26JUL18DELRIB,RIB,ATP_MAIN,26_50,MIRRORED,FALLER,-18.5,,,,False,,,,
26JUL18DENCOP,COP,ATP_CHALL,51_75,FLAT_BOTH,,2.5,53,1784349491.2,0.0176,False,,,1784365963,RISING
26JUL18DENCOP,DEN,ATP_CHALL,26_50,FLAT_BOTH,,-2.5,46,1784365962.6,0.7073,True,46,1784367772.364,1784365964,FALLING
26JUL18DOMSKA,DOM,ATP_MAIN,26_50,MIRRORED,FALLER,-29.0,20,1784341983.7,0.1681,False,,,1784375149,RISING
26JUL18DOMSKA,SKA,ATP_MAIN,26_50,MIRRORED,CLIMBER,29.0,79,1784375147.1,0.8068,False,,,1784375153,FALLING
26JUL18ERJGRA,ERJ,WTA_CHALL,51_75,FLAT_BOTH,,0.0,56,1784353317.6,0.1059,False,,,,
26JUL18ERJGRA,GRA,WTA_CHALL,26_50,FLAT_BOTH,,0.0,44,1784360895.4,0.447,False,,,,
26JUL18FUEBON,BON,ATP_CHALL,26_50,MIRRORED,CLIMBER,24.0,70,1784376444.6,0.7195,True,70,1784376444.608,1784373611,FALLING
26JUL18FUEBON,FUE,ATP_CHALL,26_50,MIRRORED,FALLER,-19.0,28,1784358999.5,0.2982,True,28,1784384479.71,1784373611,RISING
26JUL18GAUTSE,GAU,ATP_MAIN,26_50,MIRRORED,CLIMBER,6.5,56,1784371976.6,0.8512,False,,,1784372064,FALLING
26JUL18GAUTSE,TSE,ATP_MAIN,26_50,MIRRORED,FALLER,-4.5,43,1784372057.6,0.0075,False,,,1784372075,FALLING
26JUL18GENKUM,GEN,ATP_CHALL,51_75,DECOUPLED_SAME_DIRECTION,,-9.5,55,1784357100.8,0.3841,False,,,1784357101,FALLING
26JUL18GENKUM,KUM,ATP_CHALL,51_75,DECOUPLED_SAME_DIRECTION,,-27.5,40,1784380426.6,0.9321,True,45,1784359520.528,1784357101,FALLING
26JUL18HEIFEL,FEL,ATP_MAIN,26_50,MIRRORED,FALLER,-7.5,42,1784375934.1,0.8886,False,,,,
26JUL18HEIFEL,HEI,ATP_MAIN,26_50,MIRRORED,CLIMBER,8.5,58,1784343836.8,0.225,False,,,,
26JUL18HIPGIU,GIU,ATP_MAIN,26_50,MIRRORED,CLIMBER,25.5,74,1784343103.1,0.2964,False,,,1784336717,RISING
26JUL18HIPGIU,HIP,ATP_MAIN,26_50,MIRRORED,FALLER,-26.5,22,1784332618.5,0.0078,True,27,1784349534.745,1784336718,RISING
26JUL18HONTHA,HON,WTA_MAIN,51_75,MIRRORED,CLIMBER,35.0,83,1784353958.5,0.3706,False,,,1784354028,FALLING
26JUL18HONTHA,THA,WTA_MAIN,51_75,MIRRORED,FALLER,-36.0,13,1784363120.5,0.8551,True,16,1784359802.507,1784354028,FALLING
26JUL18ITOKNU,ITO,WTA_MAIN,51_75,FLAT_BOTH,,-1.0,48,1784344752.2,0.1021,False,,,1784369765,RISING
26JUL18ITOKNU,KNU,WTA_MAIN,51_75,FLAT_BOTH,,0.0,51,1784369756.6,0.9231,False,,,1784369775,FALLING
26JUL18JACDA,DA,ATP_MAIN,26_50,MIRRORED,FALLER,-46.5,4,1784333177.8,0.119,True,5,1784333084.051,1784332558,FALLING
26JUL18JACDA,JAC,ATP_MAIN,26_50,MIRRORED,CLIMBER,47.0,93,1784329093.2,0.0277,False,,,1784332558,RISING
26JUL18KOPHER,HER,ATP_MAIN,26_50,MIRRORED,FALLER,-9.5,41,1784381034.0,0.9684,False,,,1784381034,FALLING
26JUL18KOPHER,KOP,ATP_MAIN,26_50,MIRRORED,CLIMBER,9.5,58,1784377737.9,0.0386,False,,,1784381034,RISING
26JUL18LAJYUN,LAJ,ATP_CHALL,26_50,FLAT_BOTH,,-4.5,35,1784407659.3,0.4114,True,35,1784421470.928,1784418817,FALLING
26JUL18LAJYUN,YUN,ATP_CHALL,51_75,FLAT_BOTH,,4.5,64,1784418799.7,0.6001,True,64,1784419426.158,1784418816,FALLING
26JUL18LUZTSE,LUZ,ATP_MAIN,26_50,MIRRORED,FALLER,-33.5,10,1784375294.7,0.0364,False,,,1784376800,FALLING
26JUL18LUZTSE,TSE,ATP_MAIN,26_50,MIRRORED,CLIMBER,33.5,86,1784376688.5,0.5723,False,,,,
